mtxname,k,bands,r,genPairs_time,HC_time,Format_Conversion_time,LeSpGEMM_VLength_time,mixed_acc,error
bayer01,256,64,4,443.841,65.005,83.882,2.05102,dense clusters: 957 / 30498 (3.13791%),
enron,192,32,6,5074.78,416.828,79.089,24.0887,dense clusters: 466 / 14799 (3.14886%),
cegb2802,256,64,4,223.27,39.696,13.921,2.10879,dense clusters: 283 / 297 (95.2862%),
chipcool1,192,48,4,118.849,79.628,67.78,2.48659,dense clusters: 0 / 2823 (0%),
chipcool0,256,64,4,137.393,92.651,67.642,2.47538,dense clusters: 0 / 2607 (0%),
vsp_sctap1-2b_and_seymourl,32,8,4,106.404,68.802,117.479,54.0651,dense clusters: 10 / 34006 (0.0294066%),
sinc12,96,24,4,172.462,39.369,46.953,11.8564,dense clusters: 967 / 1260 (76.746%),
3D_28984_Tetra,96,16,6,115.277,16.205,95.267,10.9025,dense clusters: 2 / 9622 (0.0207857%),
t520,256,64,4,193.017,36.558,14.631,1.08092,dense clusters: 497 / 497 (100%),
bcsstk16,192,48,4,98.402,29.499,20.241,1.68293,dense clusters: 559 / 559 (100%),
raefsky1,192,48,4,86.584,25.542,21.931,2.38335,dense clusters: 402 / 402 (100%),
raefsky2,192,64,3,151.695,55.917,19.416,2.28505,dense clusters: 398 / 398 (100%),
EX6,192,64,3,44.996,44.545,133.43,16.5077,dense clusters: 828 / 1458 (56.7901%),
EX5,224,56,4,41.263,3.848,129.211,19.1181,dense clusters: 819 / 5508 (14.8693%),
Reuters911,32,8,4,28.478,8.028,128.01,70.4879,dense clusters: 3769 / 11428 (32.9804%),
finance256,192,48,4,188.478,68.852,82.223,4.92477,dense clusters: 1206 / 7786 (15.4893%),
c-60,192,64,3,326.389,134.949,66.451,12.2797,dense clusters: 1 / 12888 (0.00775916%),
dixmaanl,96,32,3,256.682,98.09,52.728,0.742221,dense clusters: 0 / 7521 (0%),
vibrobox,160,40,4,87.028,66.255,61.06,6.88772,dense clusters: 11 / 1618 (0.679852%),
Na5,192,64,3,339.246,58.082,57.868,9.8043,dense clusters: 624 / 857 (72.8121%),
lhr14,192,64,3,495.785,68.879,31.056,1.85108,dense clusters: 12 / 2674 (0.448766%),
circuit_4,192,64,3,1331.77,937.077,51.128,227.853,dense clusters: 13222 / 24373 (54.2486%),
lhr14c,96,32,3,266.034,53.395,32.874,1.775,dense clusters: 25 / 3761 (0.664717%),
c-61,96,32,3,218.086,98.522,74.893,16.2391,dense clusters: 1 / 14693 (0.00680596%),
Goodwin_030,192,64,3,251.655,89.333,24.975,1.78142,dense clusters: 1017 / 1548 (65.6977%),
crystk01,96,32,3,104.655,43.212,19.583,1.98898,dense clusters: 463 / 463 (100%),
rgg_n_2_15_s0,96,32,3,206.022,96.756,48.426,2.12102,dense clusters: 4 / 5304 (0.0754148%),
bcsstm36,160,32,5,816.965,94.148,29.246,1.61407,dense clusters: 272 / 3026 (8.98876%),
cegb2919,96,32,3,150.211,58.082,16.997,3.27001,dense clusters: 305 / 315 (96.8254%),
mark3jac120,96,24,4,203.7,52.089,114.525,3.26002,dense clusters: 1932 / 34302 (5.63232%),
mark3jac120sc,224,56,4,388.468,73.068,106.457,3.66809,dense clusters: 1502 / 24892 (6.03407%),
crystm02,160,40,4,91.146,55.376,50.624,2.16892,dense clusters: 0 / 1692 (0%),
usroads-48,192,64,3,693.7,199.331,116.153,2.71015,dense clusters: 369 / 25974 (1.42065%),
goodwin,160,40,4,120.985,54.434,29.062,1.74181,dense clusters: 727 / 1032 (70.4457%),
EAT_SR,32,8,4,278.829,82.671,135.462,21.8897,dense clusters: 0 / 9985 (0%),
EAT_RS,160,32,5,133.599,13.366,148.073,24.2378,dense clusters: 337 / 18686 (1.80349%),
pwt_id_880,160,40,4,180.159,83.084,50.621,1.61195,dense clusters: 715 / 4649 (15.3797%),
pwt_id_762,160,40,4,186.03,102.249,64.464,1.51851,dense clusters: 715 / 4649 (15.3797%),
pwt_id_1273,192,48,4,203.251,106.285,65.588,1.64173,dense clusters: 682 / 4508 (15.1287%),
fe_body,224,56,4,286.388,71.393,90.771,2.3864,dense clusters: 3233 / 11740 (27.5383%),
shallow_water2,192,64,3,463.141,195.656,94.47,2.42591,dense clusters: 4244 / 10133 (41.883%),
shallow_water1,32,8,4,97.396,36.112,142.013,2.476,dense clusters: 32755 / 72354 (45.2705%),
lpl1,192,64,3,449.682,320.126,76.82,10.7348,dense clusters: 1 / 4137 (0.0241721%),
inlet,192,32,6,94.694,28.784,35.364,1.24891,dense clusters: 1816 / 1821 (99.7254%),
shyy161,32,8,4,93.772,34.156,146.837,2.38039,dense clusters: 154 / 71211 (0.216259%),
usroads,192,64,3,724.665,205.104,121.833,2.77219,dense clusters: 605 / 26924 (2.24707%),
ckt11752_tr_0,96,32,3,359.546,215.503,68.22,21.5235,dense clusters: 167 / 9777 (1.70809%),
ckt11752_dc_1,256,64,4,478.965,171.768,73.308,20.4242,dense clusters: 167 / 12131 (1.37664%),
graham1,96,32,3,151.689,69.183,29.755,2.32761,dense clusters: 551 / 1401 (39.3291%),
me2010,192,64,3,479.395,194.215,103.275,3.4157,dense clusters: 2 / 12047 (0.0166016%),
onetone1,96,32,3,238.375,113.926,52.567,2.67375,dense clusters: 2 / 8676 (0.0230521%),
g7jac100,256,64,4,325.127,70.787,61.863,3.4534,dense clusters: 701 / 12518 (5.59994%),
g7jac100sc,256,64,4,321.987,71.075,62.561,3.54283,dense clusters: 701 / 12518 (5.59994%),
ct2010,192,64,3,444.437,161.8,80.098,3.34506,dense clusters: 0 / 11371 (0%),
Kuu,96,32,3,176.221,57.15,15.563,1.56999,dense clusters: 471 / 857 (54.9592%),
gyro_m,192,48,4,164.572,85.496,48.83,2.28531,dense clusters: 88 / 2148 (4.09683%),
HEP-th,192,64,3,651.106,202.319,84.789,10.3711,dense clusters: 190 / 5308 (3.5795%),
a2nnsnsl,96,16,6,164.783,35.228,127.998,310.378,dense clusters: 7 / 66995 (0.0104485%),
cvxbqp1,96,32,3,240.887,137.518,62.82,2.85363,dense clusters: 0 / 6202 (0%),
ncvxbqp1,192,64,3,376.901,200.213,76.77,3.15573,dense clusters: 0 / 5815 (0%),
cond-mat-2005,192,64,3,448.881,135.979,91.286,12.687,dense clusters: 1216 / 8433 (14.4195%),
poisson3Da,96,32,3,117.91,127.15,70.11,6.1404,dense clusters: 0 / 1524 (0%),
cit-HepTh,192,64,3,641.536,202.603,87.839,11.2587,dense clusters: 202 / 5471 (3.6922%),
HEP-th-new,192,64,3,631.422,202.302,87.416,11.1971,dense clusters: 202 / 5471 (3.6922%),
a0nsdsil,192,32,6,319.451,35.551,123.978,282.868,dense clusters: 11 / 62794 (0.0175176%),
c-53,192,64,3,1682.78,1010.72,49.475,70.776,dense clusters: 586 / 14180 (4.13258%),
bcsstk38,192,48,4,253.853,42.932,23.302,1.71311,dense clusters: 560 / 873 (64.1466%),
c-65,192,64,3,396.294,135.923,58.964,21.2217,dense clusters: 1 / 14993 (0.00666978%),
email-Enron,160,32,5,1264.95,218.915,125.826,68.8101,dense clusters: 3243 / 17032 (19.0406%),
garon2,192,48,4,190.355,74.409,41.644,1.85254,dense clusters: 0 / 1520 (0%),
bcircuit,192,64,3,555.311,171.182,89.377,2.97279,dense clusters: 9 / 9529 (0.0944485%),
mark3jac140sc,224,56,4,410.862,87.562,126.829,3.98903,dense clusters: 1746 / 29083 (6.00351%),
mark3jac140,256,64,4,512.245,91.497,123.556,4.07133,dense clusters: 1660 / 27452 (6.04692%),
k3plates,160,40,4,198.774,50.333,29.589,1.72274,dense clusters: 769 / 1307 (58.837%),
lhr17,160,40,4,392.521,48.394,45.51,2.30739,dense clusters: 41 / 8062 (0.508559%),
vsp_south31_slptsk,192,64,3,3095.4,1573.37,106.074,425.291,dense clusters: 2900 / 9231 (31.4159%),
vsp_model1_crew1_cr42_south31,192,64,3,3181.37,1699.88,129.929,472.664,dense clusters: 2924 / 10917 (26.7839%),
c-56,192,64,3,1071.73,689.386,82.33,20.9091,dense clusters: 1 / 14798 (0.00675767%),
ecl32,192,32,6,228.968,21.895,177.853,6.12736,dense clusters: 9658 / 51166 (18.8758%),
viscoplastic2,192,64,3,524.477,275.079,91.484,9.19299,dense clusters: 0 / 4352 (0%),
lhr17c,224,56,4,526.512,53.087,51.426,2.21577,dense clusters: 36 / 7109 (0.5064%),
c-54,192,64,3,1272.1,462.678,68.068,23.4409,dense clusters: 4 / 13850 (0.0288809%),
delaunay_n16,192,64,3,388.671,185.475,126.867,3.08239,dense clusters: 5 / 10010 (0.04995%),
nemeth02,192,48,4,240.251,84.694,28.725,1.27752,dense clusters: 1048 / 1048 (100%),
nemeth05,160,32,5,143.491,60.601,27.004,1.27306,dense clusters: 1078 / 1078 (100%),
nemeth04,160,40,4,211.009,82.435,30.273,1.33669,dense clusters: 1055 / 1055 (100%),
nemeth03,256,64,4,389.924,88.592,28.552,1.32151,dense clusters: 1028 / 1028 (100%),
nemeth06,96,32,3,236.464,94.523,28.998,1.30489,dense clusters: 1051 / 1051 (100%),
nemeth07,96,32,3,251.024,95.674,29.07,1.30727,dense clusters: 1051 / 1051 (100%),
nemeth08,192,64,3,421.629,109.184,22.662,1.61104,dense clusters: 1041 / 1041 (100%),
nemeth09,192,64,3,427.132,110.733,22.651,1.28472,dense clusters: 1043 / 1043 (100%),
ca-AstroPh,256,64,4,223.522,50.426,99.727,28.561,dense clusters: 605 / 6319 (9.5743%),
net25,192,64,3,196.89,135.6,115.133,19.7389,dense clusters: 881 / 1216 (72.4507%),
nemeth10,96,32,3,233.735,95.939,23.042,1.31824,dense clusters: 1065 / 1065 (100%),
c-57,192,64,3,2476.57,1858.55,69.682,276.281,dense clusters: 1654 / 18698 (8.84587%),
c-55,96,32,3,201.273,91.244,84.863,19.3971,dense clusters: 1 / 13577 (0.0073654%),
mycielskian12,224,56,4,70.981,119.037,65.824,15.3854,dense clusters: 323 / 323 (100%),
nemeth11,96,24,4,148.937,70.168,23.917,1.44145,dense clusters: 1062 / 1062 (100%),
sd2010,96,32,3,354.24,163.38,140.765,3.91884,dense clusters: 40 / 20230 (0.197726%),
cz40948,224,56,4,266.658,74.819,85.396,1.71688,dense clusters: 12998 / 15454 (84.1077%),
g7jac120sc,160,40,4,280.406,70.332,57.778,4.79994,dense clusters: 958 / 17585 (5.44782%),
g7jac120,160,40,4,283.888,76.865,77.518,4.75383,dense clusters: 958 / 17585 (5.44782%),
nv2010,256,64,4,511.067,122.575,145.665,6.54492,dense clusters: 2 / 27938 (0.00715871%),
onera_dual,96,32,3,317.48,143.426,158.397,3.60537,dense clusters: 252 / 19251 (1.30902%),
email-EuAll,192,64,3,70814.0,6065.0,86.744,68.209,dense clusters: 1069 / 47879 (2.23271%),
cit-HepPh,96,16,6,153.758,28.755,124.227,10.7724,dense clusters: 615 / 25921 (2.37259%),
ted_A,192,64,3,339.147,63.456,34.337,6.37767,dense clusters: 0 / 4997 (0%),
ted_A_unscaled,128,32,4,149.372,37.473,36.148,6.57048,dense clusters: 0 / 5011 (0%),
ncvxqp5,96,16,6,131.801,26.81,183.516,6.42512,dense clusters: 0 / 57907 (0%),
OPF_10000,160,40,4,284.422,79.119,58.831,2.25785,dense clusters: 0 / 7344 (0%),
wy2010,256,64,4,515.103,121.8,150.418,5.1594,dense clusters: 2 / 29000 (0.00689655%),
loc-Brightkite,96,16,6,198.752,42.221,187.857,50.3468,dense clusters: 1099 / 45518 (2.41443%),
helm3d01,192,64,3,253.734,205.777,106.443,6.61752,dense clusters: 0 / 3782 (0%),
bcsstk17,256,64,4,237.02,68.821,33.53,2.85261,dense clusters: 953 / 1611 (59.1558%),
FEM_3D_thermal1,224,56,4,139.438,86.871,77.954,2.91407,dense clusters: 547 / 2104 (25.9981%),
GT01R,192,64,3,231.424,95.626,32.219,3.33936,dense clusters: 6 / 905 (0.662983%),
c-63,96,32,3,245.048,122.782,94.452,24.0928,dense clusters: 1 / 17805 (0.0056164%),
cont-201,96,32,3,282.63,113.305,146.183,3.62554,dense clusters: 0 / 22198 (0%),
TEM27623,192,48,4,163.44,125.353,103.613,5.74803,dense clusters: 46 / 3654 (1.25889%),
rajat15,192,64,3,350.975,197.663,89.968,37.3552,dense clusters: 13 / 7281 (0.178547%),
c-66b,192,64,3,1448.63,520.504,87.497,64.8319,dense clusters: 42 / 19001 (0.221041%),
c-66,96,32,3,883.747,444.33,84.224,67.711,dense clusters: 45 / 20438 (0.220178%),
nemeth12,256,64,4,368.718,100.49,25.215,1.53484,dense clusters: 1016 / 1016 (100%),
ex40,224,56,4,119.297,48.239,47.114,3.88243,dense clusters: 1056 / 1066 (99.0619%),
tandem_dual,256,64,4,530.323,91.076,173.213,4.42772,dense clusters: 1740 / 39761 (4.37615%),
af23560,96,32,3,148.543,59.759,102.783,2.52631,dense clusters: 129 / 3272 (3.94254%),
epb3,96,32,3,368.815,235.018,112.797,2.48163,dense clusters: 0 / 10354 (0%),
wathen100,160,32,5,140.584,95.276,74.04,2.61881,dense clusters: 0 / 3877 (0%),
nemeth13,192,32,6,140.904,58.103,30.547,1.68505,dense clusters: 1047 / 1047 (100%),
rajat16,192,64,3,1470.8,1241.65,139.047,1086.37,dense clusters: 5567 / 15223 (36.5697%),
rajat18,256,64,4,1126.75,780.36,109.753,978.03,dense clusters: 8952 / 23434 (38.2009%),
rajat17,96,24,4,374.579,230.375,185.43,703.801,dense clusters: 10899 / 33436 (32.5966%),
c-59,160,40,4,224.119,71.375,105.097,25.426,dense clusters: 1 / 20595 (0.00485555%),
vsp_c-60_data_cti_cs4,192,64,3,588.653,224.695,133.499,14.9773,dense clusters: 113 / 26147 (0.432172%),
2D_54019_highK,96,16,6,199.604,41.598,153.039,5.26018,dense clusters: 38 / 15728 (0.241607%),
g7jac140,256,64,4,454.765,105.326,90.08,6.94802,dense clusters: 962 / 17515 (5.49244%),
g7jac140sc,256,64,4,461.534,104.693,89.767,6.90925,dense clusters: 962 / 17515 (5.49244%),
lung2,192,64,3,803.18,224.593,79.077,2.38273,dense clusters: 296 / 12264 (2.41357%),
nemeth14,128,32,4,230.259,93.795,29.246,1.95458,dense clusters: 1066 / 1066 (100%),
fxm4_6_id_1381,96,24,4,367.437,87.588,46.973,3.77147,dense clusters: 763 / 3254 (23.4481%),
std1_Jac2_db,160,32,5,372.012,95.088,52.471,4.31809,dense clusters: 12760 / 16212 (78.7071%),
ncvxqp3,96,16,6,148.197,32.245,192.387,7.72526,dense clusters: 0 / 71726 (0%),
soc-Epinions1,192,32,6,1873.95,184.727,206.865,65.2884,dense clusters: 1893 / 40996 (4.61752%),
t3dl_a,160,32,5,100.435,87.082,102.9,5.92062,dense clusters: 0 / 2821 (0%),
t3dl,96,32,3,155.609,138.532,96.067,5.78258,dense clusters: 0 / 2299 (0%),
gridgena,192,64,3,402.211,183.351,90.266,3.11611,dense clusters: 0 / 6950 (0%),
hcircuit,192,64,3,1102.0,370.067,90.577,9.80749,dense clusters: 1054 / 16333 (6.45319%),
soc-sign-Slashdot081106,192,32,6,3316.13,303.453,203.677,41.7315,dense clusters: 2107 / 38591 (5.45982%),
c-67,192,64,3,2449.72,1949.81,116.255,57.1034,dense clusters: 1 / 23063 (0.00433595%),
c-67b,192,64,3,2606.94,1931.59,101.975,51.4383,dense clusters: 1 / 23063 (0.00433595%),
std1_Jac3_db,192,32,6,374.396,108.61,52.56,5.3972,dense clusters: 12672 / 16165 (78.3916%),
ibm_matrix_2,160,32,5,342.699,31.961,165.723,26.1214,dense clusters: 1 / 16418 (0.00609088%),
3D_51448_3D,96,24,4,258.919,43.952,167.764,27.1449,dense clusters: 1 / 14274 (0.00700574%),
nemeth15,32,8,4,82.391,57.565,26.415,2.35209,dense clusters: 1124 / 1124 (100%),
psmigr_2,96,32,3,86.054,131.71,113.847,36.6932,dense clusters: 523 / 523 (100%),
apache1,160,32,5,288.301,32.148,204.938,4.53169,dense clusters: 0 / 78541 (0%),
psmigr_3,192,48,4,42.164,77.465,120.911,43.2035,dense clusters: 847 / 847 (100%),
psmigr_1,192,48,4,41.642,76.323,120.842,42.659,dense clusters: 847 / 847 (100%),
ford2,96,32,3,452.855,215.192,149.797,3.87101,dense clusters: 1671 / 16834 (9.92634%),
soc-sign-Slashdot090216,96,16,6,1855.69,310.016,235.929,43.2812,dense clusters: 2030 / 40346 (5.03148%),
soc-sign-Slashdot090221,96,16,6,1871.58,306.731,214.084,47.773,dense clusters: 2030 / 40469 (5.01619%),
sinc15,192,32,6,387.886,73.14,104.194,25.9403,dense clusters: 1774 / 2198 (80.7097%),
c-58,96,32,3,399.081,118.355,98.347,68.0918,dense clusters: 149 / 13962 (1.06718%),
e40r0100,160,40,4,246.206,104.636,56.625,3.2855,dense clusters: 542 / 2013 (26.925%),
rail_79841,192,64,3,569.148,315.773,120.192,3.38094,dense clusters: 448 / 9625 (4.65455%),
Trefethen_20000b,192,32,6,85.213,7.524,235.776,17.4139,dense clusters: 0 / 19978 (0%),
Trefethen_20000,96,16,6,49.159,7.588,230.252,16.5119,dense clusters: 0 / 19990 (0%),
rajat23,224,56,4,707.479,279.347,145.658,50.4938,dense clusters: 1670 / 27738 (6.02062%),
stokes128,96,16,6,108.814,21.254,227.083,6.07054,dense clusters: 0 / 44332 (0%),
c-62ghs,256,64,4,312.366,78.349,121.849,54.8084,dense clusters: 7 / 18856 (0.0371235%),
c-62,256,64,4,314.339,77.173,119.658,52.0962,dense clusters: 7 / 18856 (0.0371235%),
cage11,32,8,4,49.627,15.999,246.322,13.8361,dense clusters: 0 / 36010 (0%),
k1_san,256,64,4,443.848,250.011,146.19,6.56271,dense clusters: 0 / 7944 (0%),
patents_main,192,32,6,4880.57,447.058,205.004,7.14197,dense clusters: 13934 / 145795 (9.55726%),
Goodwin_040,96,24,4,154.072,111.355,58.175,3.35517,dense clusters: 694 / 2730 (25.4212%),
g7jac160,256,64,4,520.375,122.199,104.413,7.99136,dense clusters: 1094 / 19977 (5.4763%),
g7jac160sc,256,64,4,508.856,124.256,103.199,8.10478,dense clusters: 1094 / 19977 (5.4763%),
wathen120,192,32,6,164.223,90.167,89.628,2.72717,dense clusters: 0 / 5838 (0%),
c-68,96,32,3,382.834,199.815,128.427,24.5019,dense clusters: 1 / 24852 (0.00402382%),
ut2010,192,64,3,906.873,419.041,178.349,8.92665,dense clusters: 4 / 18857 (0.0212123%),
thermal1,224,56,4,471.11,255.675,135.444,4.0874,dense clusters: 256 / 10398 (2.46201%),
ncvxqp7,96,16,6,184.234,36.951,224.282,10.9409,dense clusters: 0 / 85004 (0%),
ASIC_100ks,160,40,4,495.532,135.224,134.291,10.3363,dense clusters: 1225 / 24026 (5.09864%),
crystm03,224,56,4,187.863,114.014,101.382,5.84972,dense clusters: 0 / 2906 (0%),
nemeth16,192,32,6,187.739,76.559,35.878,2.5399,dense clusters: 1050 / 1050 (100%),
bcsstk33,256,64,4,200.929,66.653,45.234,4.61347,dense clusters: 808 / 865 (93.4104%),
LeGresley_87936,192,64,3,915.497,245.128,89.884,3.65651,dense clusters: 1512 / 13599 (11.1185%),
sx-askubuntu,192,32,6,5141.38,559.962,235.276,197.561,dense clusters: 23008 / 88668 (25.9485%),
finan512,160,40,4,335.836,136.904,171.618,9.91855,dense clusters: 2771 / 17221 (16.0908%),
pfinan512,224,56,4,401.289,160.481,163.82,9.12716,dense clusters: 2211 / 14259 (15.506%),
vsp_bump2_e18_aa01_model1_crew1,192,64,3,709.742,423.6,227.78,88.1033,dense clusters: 17 / 16797 (0.101209%),
rajat20,160,40,4,454.331,213.97,167.682,1128.19,dense clusters: 8050 / 24050 (33.4719%),
rajat25,192,64,3,1215.68,956.699,137.356,1023.98,dense clusters: 5238 / 14063 (37.2467%),
rajat28,192,64,3,1220.8,953.353,137.655,1021.55,dense clusters: 5238 / 14063 (37.2467%),
TSOPF_FS_b162_c1,96,32,3,321.963,115.932,48.599,51.1295,dense clusters: 701 / 3319 (21.1208%),
TSOPF_RS_b162_c3,192,64,3,809.197,158.419,49.867,3.1214,dense clusters: 33 / 2998 (1.10073%),
k49_norm_10NN,192,32,6,146.965,17.168,251.299,25.8796,dense clusters: 1 / 36590 (0.00273299%),
bcsstk29,64,16,4,127.165,49.815,43.929,2.94602,dense clusters: 109 / 1485 (7.34007%),
c-69,96,32,3,396.24,199.254,136.536,41.89,dense clusters: 1 / 26809 (0.00373009%),
nd2010,192,64,3,855.108,375.93,197.9,6.40469,dense clusters: 6 / 22176 (0.0270563%),
nemeth17,160,32,5,247.739,91.751,37.127,2.75538,dense clusters: 1058 / 1058 (100%),
mt2010,96,32,3,574.071,298.187,237.563,7.47988,dense clusters: 15 / 30393 (0.0493535%),
blockqp1,192,64,3,2913.75,820.569,90.62,2520.46,dense clusters: 13194 / 13194 (100%),
g7jac180sc,160,40,4,438.232,118.456,123.908,9.35526,dense clusters: 1397 / 26279 (5.31603%),
g7jac180,224,56,4,504.963,131.609,121.979,9.42318,dense clusters: 1260 / 23401 (5.38439%),
c-70,192,48,4,456.845,149.658,156.263,40.7177,dense clusters: 1 / 32773 (0.00305129%),
wv2010,192,64,3,1003.21,468.72,212.411,7.63631,dense clusters: 0 / 22596 (0%),
Zd_Jac6_db,192,32,6,380.632,114.612,68.979,6.40528,dense clusters: 11994 / 16006 (74.9344%),
Zd_Jac2_db,192,48,4,783.492,185.464,63.021,7.56476,dense clusters: 11682 / 15010 (77.8281%),
cbuckle,128,32,4,287.896,67.604,41.408,2.34573,dense clusters: 1057 / 1220 (86.6393%),
ex3sta1_id_1379,128,32,4,460.964,108.676,89.101,12.543,dense clusters: 26 / 2539 (1.02403%),
